GDP per capita,Social support,Life Expectancy,Freedom,Generosity,Corruption,Actual_Happiness_Score,Country,Year
1.373,1.454,0.987,0.495,0.261,0.265,6.985,Germany,2019
1.219,1.506,0.856,0.633,0.16,0.051,5.948,Slovenia,2018
0.22415,0.3109,0.18829,0.30953,0.29914,0.1192,3.607,Guinea,2016
1.159,1.369,0.92,0.357,0.187,0.056,6.444,Chile,2019
0.831,1.478,0.831,0.49,0.107,0.028,5.89,Jamaica,2019
1.23011,1.31379,0.95562,0.45951,0.18227,0.06398,6.329,Spain,2015
1.067,1.465,0.789,0.235,0.094,0.142,5.323,Belarus,2019
0.964434325695038,1.0984708070755,0.33861181139946,0.520303547382355,0.0771337449550629,0.0931469723582268,4.57399988174438,Namibia,2017
0.986,1.474,0.675,0.493,0.11,0.088,6.419,Brazil,2018
0.48835,0.75602,0.53119,0.43408,0.25998,0.13509,4.996,Tajikistan,2016
0.47038,0.91612,0.29924,0.48827,0.19591,0.12468,5.129,Zambia,2015
1.07937383651733,1.40241670608521,0.574873745441437,0.55258983373642,0.186967849731445,0.113945253193378,5.23000001907349,Dominican Republic,2017
0.591683447360992,0.93538224697113,0.310080915689468,0.249463722109795,0.104125209152699,0.0567674227058887,3.59299993515015,Yemen,2017
1.25114,1.19777,0.95446,0.26236,0.22823,0.02901,5.948,Italy,2015
1.13062,1.04993,0.63104,0.29091,0.13942,0.17457,5.802,Belarus,2016
1.29947,1.05613,0.79151,0.53164,0.25738,0.03635,5.768,Slovenia,2016
0.322,1.09,0.237,0.45,0.259,0.061,4.161,Uganda,2018
0.991012394428253,1.23908889293671,0.604590058326721,0.418421149253845,0.172170460224152,0.11980327218771,5.33599996566772,Jordan,2017
1.251,1.538,0.965,0.449,0.142,0.074,6.31,Spain,2018
1.115,1.161,0.737,0.38,0.12,0.039,5.321,Croatia,2018
0.076,0.858,0.267,0.419,0.206,0.03,3.495,Liberia,2018
1.07498753070831,1.12962424755096,0.735081076622009,0.288515985012054,0.264450758695602,0.037513829767704,5.22499990463257,Lebanon,2017
0.39394,0.18519,0.15781,0.19662,0.25899,0.13015,3.832,South Sudan,2016
0.1327,0.6053,0.26162,0.38041,0.2097,0.17176,3.856,Niger,2016
1.017,1.174,0.417,0.557,0.042,0.092,3.59,Botswana,2018
0.564305365085602,0.946018218994141,0.132892116904259,0.430388748645782,0.236298456788063,0.0513066314160824,4.69500017166138,Cameroon,2017
1.24886,0.75473,0.80029,0.05822,0.0,0.04127,5.033,Greece,2016
0.275,0.572,0.41,0.293,0.177,0.085,4.085,Togo,2019
0.52497,0.62542,0.12698,0.42736,0.2268,0.06126,4.513,Cameroon,2016
2.096,0.776,0.67,0.284,0.186,0.091,6.774,United Arab Emirates,2018
0.45,1.134,0.571,0.292,0.153,0.072,4.681,Senegal,2019
1.35495,1.04167,0.85102,0.18827,0.16684,0.02556,5.977,Italy,2016
0.730573117733002,1.14394497871399,0.582569479942322,0.348079860210419,0.236188873648643,0.0733454525470734,5.18100023269653,Honduras,2017
0.677,0.886,0.535,0.313,0.22,0.098,5.653,Pakistan,2019
0.96,1.439,0.635,0.531,0.099,0.039,6.26,Colombia,2018
0.982409417629242,1.0693359375,0.705186307430267,0.204403176903725,0.328867495059967,0.0,5.18200016021729,Bosnia and Herzegovina,2017
1.25278460979462,1.28402495384216,0.819479703903198,0.376895278692245,0.326662421226501,0.0822879821062088,6.65199995040894,Chile,2017
0.511135876178741,1.04198980331421,0.364509284496307,0.390017777681351,0.354256361722946,0.0660351067781448,3.34899997711182,Tanzania,2017
0.01604,0.41134,0.22562,0.43054,0.33128,0.06977,4.292,Malawi,2015
0.21102,1.13299,0.33861,0.45727,0.29066,0.07267,3.931,Uganda,2015
1.181,1.156,0.999,0.067,0.0,0.034,5.287,Greece,2019
1.21788,0.95025,0.63952,0.27996,0.17445,0.0889,5.56,Latvia,2016
0.10706,0.50353,0.23165,0.25748,0.24063,0.04852,3.622,Liberia,2016
0.64499,0.38174,0.51529,0.39786,0.26475,0.08492,4.565,India,2015
1.33596,1.36948,0.89533,0.61777,0.45901,0.28703,6.94,Ireland,2015
0.54558,0.67954,0.40132,0.42342,0.23087,0.04355,4.633,Ghana,2015
0.069,1.136,0.204,0.312,0.197,0.052,4.245,Congo (Kinshasa),2018
0.950612664222717,0.57061493396759,0.649546980857849,0.309410035610199,0.0540088154375553,0.251666635274887,4.28599977493286,Georgia,2017
0.493,1.048,0.454,0.504,0.352,0.055,4.41,Kenya,2018
1.1982102394104,1.1556202173233,0.356578588485718,0.312328577041626,0.0437853783369064,0.0760467872023582,4.46500015258789,Gabon,2017
1.15687310695648,0.711551249027252,0.639333188533783,0.249322608113289,0.387242913246155,0.048761073499918,4.69199991226196,Iran,2017
0.947,0.848,0.874,0.383,0.178,0.027,4.719,Albania,2019
1.11508,0.7146,0.71143,0.37709,0.11735,0.18355,6.778,Mexico,2016
0.42214,0.63178,0.03824,0.12807,0.18667,0.04952,3.763,Chad,2016
1.13764,1.23617,0.66926,0.36679,0.00199,0.03005,5.716,Russia,2015
1.13145,1.11862,0.7038,0.41668,0.18295,0.11023,5.754,Libya,2015
0.89537,1.17202,0.66825,0.57672,0.21684,0.14234,4.885,Dominican Republic,2015
1.22943,0.95544,0.57386,0.4052,0.15011,0.11132,5.919,Kazakhstan,2016
1.362,1.368,0.871,0.536,0.255,0.11,6.199,Bahrain,2019
0.96,1.274,0.854,0.455,0.083,0.027,5.697,Peru,2019
0.70532,1.03516,0.58114,0.62545,0.24991,0.12279,5.073,Philippines,2015
1.32792,1.29937,0.89186,0.61477,0.28214,0.21843,6.75,Germany,2015
1.396,1.522,0.999,0.557,0.322,0.298,7.488,Netherlands,2019
1.324,1.472,1.045,0.436,0.111,0.183,6.592,France,2019
1.327,1.419,1.088,0.445,0.069,0.14,5.886,Japan,2019
0.886,0.666,0.752,0.346,0.043,0.164,4.519,Georgia,2019
1.372,1.548,1.036,0.557,0.332,0.29,7.228,Australia,2019
1.148,1.38,0.686,0.324,0.106,0.109,5.483,Turkey,2018
1.36135590076447,1.3802285194397,0.519983291625977,0.518630743026733,0.325296461582184,0.0089648161083459,6.16800022125244,Trinidad and Tobago,2017
1.092,1.513,0.815,0.311,0.081,0.004,5.011,Bulgaria,2019
